c_count	custdist
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
c_count	custdist
0	500019
10	66077
9	65173
11	62159
8	58483
12	55760
13	49971
7	46627
19	46509
18	46368
14	45253
20	45210
17	45026
15	43874
16	43833
21	42426
22	37983
6	32869
23	32558
24	26729
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
c_count	custdist
0	500019
10	66077
9	65173
11	62159
8	58483
12	55760
13	49971
7	46627
19	46509
18	46368
14	45253
20	45210
17	45026
15	43874
16	43833
21	42426
22	37983
6	32869
23	32558
24	26729
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
c_count	custdist
0	500019
10	66077
9	65173
11	62159
8	58483
12	55760
13	49971
7	46627
19	46509
18	46368
14	45253
20	45210
17	45026
15	43874
16	43833
21	42426
22	37983
6	32869
23	32558
24	26729
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
c_count	custdist
0	500019
10	66077
9	65173
11	62159
8	58483
12	55760
13	49971
7	46627
19	46509
18	46368
14	45253
20	45210
17	45026
15	43874
16	43833
21	42426
22	37983
6	32869
23	32558
24	26729
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
c_count	custdist
0	500019
10	66077
9	65173
11	62159
8	58483
12	55760
13	49971
7	46627
19	46509
18	46368
14	45253
20	45210
17	45026
15	43874
16	43833
21	42426
22	37983
6	32869
23	32558
24	26729
25	21130
5	19675
26	15934
27	11618
4	10008
28	8170
29	5643
3	3994
30	3727
31	2334
32	1502
2	1215
33	851
34	502
35	254
1	230
36	144
37	81
38	34
39	20
40	15
42	5
41	4
45	1
44	1
43	1
id	select_type	table	partitions	type	possible_keys	key	key_len	ref	rows	filtered	Extra
1	PRIMARY	<derived2>	NULL	ALL	NULL	NULL	NULL	NULL	22500404	100.00	Using temporary; Using filesort
2	DERIVED	customer	NULL	index	PRIMARY,i_c_nationkey	PRIMARY	4	NULL	1500000	100.00	Using index
2	DERIVED	orders	NULL	ref	i_o_custkey	i_o_custkey	5	dbt3_sf10.customer.c_custkey	15	100.00	Using where
Variable_name	Value
Last_query_cost	0.000000
t (s)	sql_text
65.067770376	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
64.988755818	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.383447782	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.061540030	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.176581481	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.113278231	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.164425722	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
65.178983218	select\n\tc_count,\n\tcount(*) as custdist\nfrom\n\t(\n\t\tselect\n\t\t\tc_custkey,\n\t\t\tcount(o_orderkey) as c_count\n\t\tfrom\n\t\t\tcustomer left outer join orders on\n\t\t\t\tc_custkey = o_custkey\n\t\t\t\tand o_comment not like '%special%packages%'\n\t\tgroup by\n\t\t\tc_custkey\n\t) as c_orders \ngroup by\n\tc_count\norder by\n\tcustdist desc,\n\tc_count desc
avg	CoV
65.1418478322500	0.0016960720946016244
