ps_partkey	value
612033	12964722.48
1523240	12964088.65
1092693	12947306.49
139399	12938631.42
1000361	12935173.92
506601	12932207.98
735606	12922337.36
1072144	12921518.03
837918	12921189.26
88000	12915564.60
542353	12904972.15
833955	12901103.60
607650	12891893.12
1507848	12888993.58
934434	12885287.27
1871071	12880599.07
851258	12880457.08
240229	12878682.79
1300614	12873288.58
235575	12870077.57
373813	12867193.72
64039	12865743.08
1479851	12861155.50
1869776	12855571.40
505473	12849535.88
1506626	12843453.64
741557	12841315.58
666236	12837826.06
1992404	12837177.96
783805	12836883.64
316595	12834720.03
35921	12833289.38
1735966	12825305.75
1032479	12822968.13
695213	12808333.32
1243114	12804622.42
43668	12803672.35
1290720	12801737.98
434571	12797148.01
1842711	12789518.42
831310	12785432.72
1065701	12770339.94
1350592	12756485.10
1358197	12746617.25
78618	12745104.79
1821379	12739025.41
231609	12724220.01
1287686	12720458.62
1543805	12719387.28
1399835	12710186.90
438617	12705568.76
335904	12705476.66
1260608	12696240.38
1679241	12687690.59
381758	12687626.32
658663	12679152.30
865275	12677878.68
1437291	12676675.38
1772809	12672276.62
1670185	12671363.65
1596488	12663297.14
1668866	12660217.35
995873	12655281.74
1001670	12651901.80
643822	12648030.98
664011	12647673.08
1909592	12644558.22
1517309	12634439.92
1613381	12633145.41
1571473	12632219.47
1444528	12617522.97
324077	12613860.29
35644	12610716.92
967715	12608579.70
25231	12607866.13
238203	12596000.96
366414	12595486.31
290957	12575327.18
491521	12574762.78
447935	12571538.28
1394989	12570328.09
257305	12564732.72
837844	12551166.51
465936	12545951.88
442	12535455.71
454206	12532553.55
706351	12531258.10
491165	12524413.21
1452524	12524212.66
241889	12520251.24
880208	12506895.14
1302053	12504447.55
123683	12501767.49
1719403	12500887.94
851098	12497229.36
452124	12496505.38
1046265	12489420.59
1857614	12485016.67
675495	12483831.60
938984	12479363.09
359614	12475885.66
905716	12474914.07
17825	12474103.38
1538807	12471457.69
736089	12463287.63
380488	12460940.23
1849701	12460126.49
287038	12458083.16
1566487	12454574.63
1793300	12454061.57
1604481	12451143.62
1018405	12450474.50
44233	12443371.46
1553428	12433829.54
1335441	12427068.23
814102	12427067.72
667587	12398913.23
1507138	12398217.03
772864	12394655.91
642007	12393726.66
1846371	12393717.00
1176559	12381396.12
1047123	12373032.08
1113256	12372815.58
647623	12366179.93
380929	12364864.25
1093006	12364230.18
487517	12363544.41
1523807	12361966.62
1294990	12357399.07
316512	12356909.12
1122935	12350811.58
1419228	12347585.57
161988	12340241.65
1245355	12332029.14
1826922	12328583.88
1091285	12327104.86
1369842	12323570.12
1630358	12319744.70
1527946	12301516.42
406822	12300379.31
1305292	12298044.57
913827	12295581.50
1236798	12295052.70
391364	12294618.50
1810684	12294304.27
981941	12292407.55
1018185	12289541.32
1006436	12288037.43
1737311	12285459.46
1882537	12279651.52
6352	12274225.93
785688	12273690.48
1790489	12271504.26
209260	12266254.73
1712880	12259329.35
1716400	12257851.24
325192	12255571.79
566517	12243370.20
1616578	12233996.31
873863	12231874.14
1155643	12228949.92
5819	12224869.02
267	12218034.18
153728	12217230.79
1552592	12214731.42
482300	12204028.41
467349	12197327.32
405441	12190914.85
1330318	12186687.37
1071807	12184573.65
1723779	12179808.14
995135	12178285.54
56567	12177176.14
1909733	12176971.06
1896255	12169687.44
1383457	12165605.46
428574	12163537.53
7705	12155670.24
672196	12153960.72
1353523	12153230.34
219653	12152666.56
1197811	12146900.56
1803136	12145605.72
504195	12134719.38
307623	12124975.06
755232	12120630.72
231606	12120575.91
920041	12120508.74
954833	12119617.11
372146	12114349.68
1240921	12112558.12
1318808	12112482.86
1112800	12096478.72
132471	12095139.38
359785	12094181.10
626656	12086238.66
1500937	12086074.30
1231917	12078505.66
95515	12076184.22
1167786	12070227.55
946736	12066602.76
1354519	12061158.90
311571	12059771.74
985408	12059105.65
1086198	12055569.00
1615608	12054175.92
1397996	12054027.15
617234	12044174.90
1023505	12040502.78
739179	12038978.76
20329	12038071.67
493300	12038029.47
1513009	12037400.24
735176	12024530.35
1665310	12019369.94
868083	12016932.07
1621062	12013542.72
137580	12013080.66
1376292	12011517.00
1839390	12009589.56
1727232	12008888.74
1581611	12005813.01
375621	12001748.97
636090	12000244.92
1791409	11994422.27
1915832	11991625.80
1096395	11982749.13
1678853	11981462.47
1889406	11979369.44
935453	11978646.85
864165	11973753.79
1312696	11972582.31
907273	11966202.64
1458934	11959645.40
368230	11955536.56
1613852	11953131.95
32142	11952149.98
1648269	11948610.88
558166	11945635.69
370006	11928047.04
66814	11920705.00
884607	11917451.91
1455554	11916625.86
1681270	11916522.21
168163	11915754.08
1599252	11914344.43
1337151	11913376.03
1909401	11911684.14
208789	11906675.94
835387	11901524.95
577560	11900814.19
1661924	11899554.80
707108	11898122.78
1658453	11894790.80
1410839	11883518.13
1696358	11879626.85
150267	11878447.48
642547	11878279.76
666636	11869840.71
837159	11869245.23
418914	11868273.23
1358586	11865344.54
1174032	11865274.75
940202	11863609.72
1230494	11861107.39
657836	11852037.63
191515	11849546.97
158350	11848381.22
791041	11841124.86
808918	11838376.38
1983933	11832612.41
564001	11831989.42
270495	11830851.00
217620	11816126.93
1216454	11814583.28
1453578	11807321.51
375990	11807077.28
126478	11800211.06
364	11800098.20
139411	11799357.25
336440	11798826.26
1299838	11797595.38
734252	11797469.00
1853242	11793373.44
1468029	11791420.18
1052419	11789841.23
339611	11789636.14
649936	11789169.60
1249773	11783431.23
988487	11780438.45
140372	11779227.55
1992599	11777887.99
1441206	11769318.35
170138	11769289.38
407371	11767840.66
1571797	11766187.53
1469142	11764561.77
503867	11760881.84
31928	11750925.48
1595450	11743021.22
625203	11741764.83
190550	11741250.38
1069180	11740995.40
531606	11739056.68
985334	11736098.40
1749594	11735598.78
1580760	11732405.64
1208446	11731285.36
470730	11730627.92
1647117	11729363.72
563792	11727971.42
1442281	11726644.10
242228	11724894.76
980390	11720630.67
1430480	11720310.90
1403513	11718514.44
203429	11715752.48
283461	11713964.28
1099624	11711992.10
1348201	11709379.38
874561	11707962.54
962494	11706251.85
701041	11705750.60
756520	11703170.25
796136	11694080.00
569654	11692956.35
993300	11690259.94
658530	11687900.12
638368	11687652.90
1806975	11687640.68
1636992	11685835.05
978729	11679395.96
153106	11675771.24
148696	11670777.10
1072481	11668655.18
1972971	11665097.62
994156	11659136.78
126617	11657325.21
110504	11655876.80
893306	11650062.39
734239	11647885.89
90858	11645210.59
608352	11644653.34
104030	11640546.17
466748	11633093.83
1608359	11631325.70
713552	11630155.90
147956	11629768.56
1332003	11627347.54
1358242	11624968.89
660158	11622828.07
1449535	11620578.09
1849970	11617881.83
1012663	11617310.11
804602	11614566.94
928662	11613316.86
162547	11612584.58
432107	11604856.86
1233232	11602311.25
710076	11600255.43
1508579	11591643.75
1467198	11582305.68
69233	11578150.88
1641638	11574110.28
29851	11573380.55
1641200	11572019.76
1970880	11548917.32
56944	11536210.48
1370321	11535150.77
732750	11531211.85
638141	11529338.17
534648	11527289.79
1072508	11523689.81
1615502	11517928.88
166231	11516902.99
191680	11509861.47
837037	11509567.71
81187	11498418.12
674653	11496711.82
1885216	11496270.54
241112	11492767.99
359240	11492231.00
313915	11491699.71
867224	11489040.05
643814	11487340.80
260847	11481389.99
798265	11479920.64
723677	11478543.96
346595	11477338.50
1926739	11468448.78
888589	11467652.40
954721	11466646.63
1556500	11464765.84
1988900	11461296.02
1706524	11460083.35
609228	11458604.59
1489825	11455747.37
1795922	11445708.92
418917	11439272.98
410795	11437737.00
455925	11428231.42
172737	11421754.16
1273786	11418285.26
1968807	11415426.95
1014073	11413680.62
1496050	11402719.16
714597	11400800.64
573330	11399826.57
712800	11394827.74
590913	11392813.88
194284	11386499.42
393219	11378159.58
853915	11376793.46
368456	11372853.08
1175277	11364173.60
368481	11347625.18
611923	11345764.48
122208	11343095.93
739951	11342625.94
260499	11339124.67
41703	11336660.02
1205358	11334917.03
1306244	11333122.14
1273793	11326921.23
555922	11326396.86
225627	11325180.08
1390662	11319558.46
870451	11312349.60
714025	11308265.31
946092	11308014.25
245493	11302291.92
1469657	11298328.56
190538	11293843.04
153881	11293390.09
106256	11292582.90
412848	11290224.85
1500236	11288207.96
168807	11285561.49
819831	11283089.80
1723752	11282575.95
1216283	11276138.02
1128480	11273328.73
116681	11270239.38
1550171	11265283.71
906297	11263861.86
1079107	11263741.16
1393988	11262716.90
946142	11262303.48
1257318	11258576.64
922502	11256627.69
951617	11255925.14
250261	11254755.32
700624	11254416.46
763679	11250851.89
1189162	11248546.77
794487	11246446.82
307153	11246439.26
1566350	11246125.72
615377	11243781.39
649664	11238200.80
1306919	11234188.38
1526254	11233953.80
938252	11233467.20
1875011	11231049.30
1193138	11228140.77
354561	11226805.71
1721488	11225820.91
1502915	11225742.61
1304606	11224817.28
1691637	11218898.96
347954	11215933.20
949252	11211548.40
1144342	11210603.50
1066564	11206108.65
327563	11203932.96
1348686	11203309.76
1218448	11203166.70
590485	11202950.32
784270	11193496.55
1184124	11189784.96
716153	11187454.80
442782	11186988.31
1955007	11184898.49
1527930	11182168.80
404597	11175427.74
1210540	11173232.04
91517	11168602.45
1366407	11167238.66
1498955	11167152.54
1362746	11165936.29
533447	11160272.98
1959203	11159924.00
552212	11159852.24
514444	11157909.88
1686184	11155751.10
863581	11151483.13
1387499	11150971.18
1731227	11145663.32
1519898	11145336.79
1367538	11145188.74
1233835	11143133.87
1416904	11143065.09
666303	11137281.10
486210	11135007.80
426102	11133874.33
136089	11129949.90
196272	11127384.87
714753	11125426.85
1839699	11124706.33
1939491	11120416.92
15936	11114117.77
1384788	11113433.24
855004	11112763.78
1909273	11109023.64
803426	11108456.85
216369	11105939.33
968817	11102558.70
1445596	11101780.32
1657340	11098568.62
572634	11096864.01
1050344	11092978.64
963261	11088695.96
1270367	11085471.67
87511	11081074.67
1405725	11074286.34
814600	11073726.68
886947	11070376.22
244349	11068417.25
178051	11066517.65
1105242	11053408.92
938961	11053011.20
1100739	11051651.60
1199451	11051302.95
814505	11049683.60
1672980	11044145.08
205677	11041379.95
440556	11039937.01
1673093	11037405.04
1706464	11035440.80
904319	11032112.55
1345243	11030982.27
117222	11023638.08
791689	11021225.54
643128	11017343.79
1571490	11016773.27
165606	11010566.04
1386353	11009192.09
186784	11003308.57
374632	10999613.19
446330	10992924.11
1824975	10992583.62
403668	10991957.41
8106	10991656.42
1294396	10989846.28
330478	10987785.12
678897	10987564.22
1044132	10987557.12
1061955	10987109.98
1971044	10984566.73
1868972	10976531.67
272511	10974079.38
720081	10973395.26
60921	10970277.24
1125236	10970138.20
1412625	10966685.94
593229	10964773.00
915918	10963896.25
1568123	10961079.90
228410	10960050.38
933458	10958183.19
896814	10953956.80
1198318	10952647.71
1470610	10951951.03
1499893	10951394.37
1590750	10947237.60
89039	10946534.64
1213773	10946198.92
582537	10941407.81
1348690	10939865.20
265512	10936262.18
213492	10935955.62
1862645	10935789.28
1924645	10934033.50
897791	10929888.20
153971	10921088.78
488612	10920001.59
532527	10914000.06
442620	10909669.02
55819	10905791.82
814022	10905767.38
954820	10904348.92
1572472	10904344.04
835427	10894453.50
932282	10893531.12
1138506	10893340.53
717216	10893265.48
1912577	10890328.80
1686940	10889880.34
1437838	10886845.30
203190	10882826.97
1894659	10878865.08
501251	10875067.37
1157561	10872929.48
1531168	10872554.84
1799890	10864162.76
1959227	10861830.56
1995243	10858301.00
407206	10857297.50
640648	10850589.21
1461558	10844588.73
353969	10843474.29
1381060	10843266.64
404610	10840535.72
1520689	10835862.78
1177945	10834898.63
666414	10833438.60
1490852	10829469.51
1453011	10829002.14
618149	10828217.31
505688	10825704.72
1365018	10822411.10
1891308	10819668.32
718463	10814836.03
1925212	10813056.38
1359775	10812542.84
17731	10807923.07
1424652	10807532.87
689880	10806419.17
668390	10805753.87
655713	10805265.44
1131258	10803800.88
1718617	10801957.23
1881713	10799230.26
22389	10798796.10
1069132	10796006.16
1752668	10791811.44
206828	10790990.92
1618436	10790428.19
1398660	10788094.38
251507	10787707.76
84958	10787429.46
1098555	10784584.31
1196038	10782131.90
1223180	10778341.10
872530	10778217.62
387641	10777983.88
1572953	10775012.38
631195	10774750.76
1073374	10772643.55
1987880	10772600.03
1033955	10771019.58
471945	10770173.95
439682	10766790.16
724960	10761037.20
1547442	10757905.78
100629	10753112.65
1455494	10752006.42
758462	10751363.04
1517450	10748413.32
1779481	10746031.56
362638	10744707.29
1841332	10743572.51
1903146	10741080.15
867215	10737206.42
1993977	10734722.70
644599	10734690.40
427757	10733584.17
1518903	10728992.69
615013	10728071.41
232224	10725948.17
368183	10725230.58
589841	10721916.89
47502	10720750.04
1855494	10719855.00
1819179	10719066.88
667551	10718396.13
1012772	10718018.29
975022	10714471.21
860668	10710393.29
370564	10708413.04
1125203	10708231.50
1558918	10708123.98
1839360	10704737.06
1941363	10697540.82
17354	10694089.75
386452	10691767.24
469968	10691308.58
1920661	10690858.03
405246	10690440.60
147143	10687225.43
1632441	10684900.70
829885	10679384.17
1832705	10676136.67
24509	10669950.29
1708889	10667343.16
1389880	10666691.50
1478830	10666001.52
1547568	10665402.78
1070610	10662070.74
545417	10660485.50
243141	10659838.01
1322504	10659525.65
1713724	10656890.74
1485761	10655326.98
1458346	10655325.90
1056821	10654717.72
264865	10653860.57
275712	10651998.85
202950	10650152.28
1068791	10648292.37
1071774	10646668.98
79318	10644733.43
191567	10642430.39
1298359	10642107.94
931967	10640496.32
1826865	10639992.10
1714984	10639471.56
1855199	10634694.95
1842431	10633366.48
208930	10632437.21
694162	10627748.26
1054670	10627081.60
1866489	10626411.41
1428589	10625307.53
1668425	10625276.47
1569654	10624335.10
1577976	10622729.11
75267	10622095.95
459040	10618182.81
898557	10613279.94
1042569	10613179.98
268832	10612633.33
852258	10612480.80
1544227	10607391.85
1830693	10604613.33
1192323	10603982.32
594185	10601425.87
987871	10599472.47
1775391	10599247.50
638517	10598034.54
1904319	10596775.95
1870742	10594834.82
775803	10594832.04
1103997	10594619.63
924665	10594042.20
1294150	10588059.22
1213081	10584888.12
1779013	10584487.24
680673	10582863.43
374571	10581447.70
1610160	10577224.50
1533292	10575225.59
1790750	10573313.85
612780	10572344.26
704689	10571244.04
1127116	10570106.56
1160145	10565218.90
773578	10564881.33
115280	10564819.38
1192159	10563199.62
260686	10560746.92
873333	10559563.82
1601365	10558989.40
643801	10556582.79
996377	10555569.88
456500	10550882.58
801253	10549090.48
460995	10549026.38
1522845	10548977.40
802741	10548315.07
102535	10547535.09
1144459	10547347.40
1256929	10546853.10
1946527	10542930.94
603612	10540352.24
1274258	10538090.76
346842	10537495.04
1522553	10536763.06
952510	10531988.61
1156269	10531112.82
1110391	10529048.60
183293	10527713.66
1220002	10527670.29
977912	10524401.52
1809494	10523306.04
162623	10521890.70
1587585	10521398.18
1572398	10519070.71
343180	10515912.46
514011	10515632.18
1206555	10515619.66
276049	10513143.78
1219232	10507735.85
1757032	10504066.74
1951580	10503994.38
1291034	10502188.70
1451006	10500932.46
522501	10500528.89
1173291	10498973.90
159943	10498518.25
310173	10498490.24
1703730	10498277.50
589893	10497747.67
1312512	10497100.65
752088	10496842.62
1508429	10494881.01
188357	10494273.15
368878	10492431.16
913330	10488197.02
1146138	10486094.08
1145434	10484753.87
1543321	10484625.89
801082	10483884.56
1025257	10479926.73
1742198	10479037.33
1959529	10477087.64
1591638	10476730.56
1191521	10474513.98
301752	10473678.49
1389690	10468030.59
1169145	10461319.95
482202	10460239.83
216426	10458674.69
310342	10452479.25
129848	10450794.16
1667054	10450238.48
186729	10448422.73
758043	10447903.71
927945	10446159.62
162035	10445307.98
1214687	10444983.64
1947615	10444296.56
574201	10443538.33
1669201	10441520.55
443305	10437920.00
215827	10436570.13
1203272	10435628.99
1852747	10434748.05
1456266	10432678.52
1278070	10431954.27
129316	10425219.65
1045314	10423521.67
1262930	10423218.28
1731301	10420277.72
1744163	10416692.63
466533	10410835.46
585843	10409440.26
1005683	10404427.52
1004499	10403102.20
1562128	10399810.48
434036	10399075.26
1707665	10395839.27
1550139	10393855.18
498215	10392580.12
187670	10391897.62
505870	10391838.14
418126	10390808.20
568817	10387886.62
301720	10387511.49
1469132	10387436.51
656379	10386963.60
1645386	10386389.88
588611	10386389.13
1780662	10384423.61
830192	10383867.24
1155141	10378067.74
1411449	10376275.44
379260	10375760.72
634946	10375609.21
666561	10373136.29
1135127	10371440.40
530137	10371055.98
1246518	10367742.60
786260	10367227.28
1524267	10366335.30
1313393	10365368.36
53978	10365173.95
1691798	10365062.52
764617	10364311.73
1248964	10363395.84
860138	10363318.75
922817	10358997.74
1630456	10357617.21
1365437	10354781.48
25614	10354312.31
816287	10351742.98
1216530	10351307.31
1311196	10348616.07
767818	10346347.42
1378502	10346191.76
746830	10345285.80
716837	10343682.69
1562581	10338930.40
261948	10338821.24
712616	10338018.11
278535	10336617.80
1271201	10335718.61
1281547	10335523.44
839909	10333169.99
1224954	10331407.37
1788482	10327960.40
161728	10327582.31
946279	10319328.48
4273	10318366.10
1143870	10313164.71
1724845	10311908.88
398660	10310995.94
95329	10310185.74
518810	10309541.07
1365327	10307001.18
106636	10305257.45
1754576	10300485.32
400505	10294840.39
1111549	10293145.14
1483293	10292904.38
1379344	10292612.55
1113953	10290495.56
27805	10290257.77
1184414	10287580.94
1596980	10281771.48
452842	10281709.56
1566452	10278416.64
1266493	10274885.92
291637	10274130.68
1023636	10272299.66
1759226	10270780.24
1068864	10270289.70
335434	10270143.08
1019559	10269169.80
1445586	10268071.48
1233031	10268047.68
341049	10264129.26
1635456	10261184.88
1723340	10260677.57
767937	10260187.96
1280345	10259509.25
687612	10258762.68
1119147	10257382.22
1612747	10255210.44
832092	10247461.57
1999409	10246590.79
488205	10242861.76
1900228	10242568.80
1122822	10242464.02
803813	10242098.39
1584569	10239414.72
914170	10236975.30
1829328	10232846.90
47863	10228219.21
659221	10227696.35
173735	10224118.88
759259	10223725.43
37230	10222085.87
348654	10221900.03
756338	10214569.60
210902	10212936.99
1703841	10211962.79
599256	10208609.75
7116	10204573.52
47935	10203160.79
266907	10201972.08
854590	10196709.84
512519	10192617.28
470620	10190713.28
1729515	10190138.15
1301720	10187307.16
1052575	10185864.05
1299942	10185685.52
1419114	10185656.55
1283797	10185588.18
586524	10184582.27
1662789	10184183.98
1861036	10179930.27
1903756	10178345.47
145450	10173385.54
769790	10172779.51
39491	10169383.14
1031290	10169204.04
1206468	10168568.75
234950	10168154.72
562215	10166966.59
76316	10165151.70
1170422	10164362.32
496488	10164088.70
589006	10160143.70
387026	10159631.00
1983521	10152981.01
495217	10152488.04
1716519	10147704.97
1305836	10143845.73
103973	10143694.94
1805399	10143363.93
883351	10142496.39
879869	10140368.21
452960	10138323.54
898101	10137204.62
542164	10136827.98
1470320	10134472.31
87625	10131876.84
973145	10130497.35
1356893	10129386.62
543980	10128774.95
1727898	10128220.62
229658	10124505.16
1175860	10124207.56
278611	10120076.38
1821377	10119638.42
741262	10116855.09
537210	10114699.56
176316	10113408.37
13827	10111802.54
1041431	10110880.68
253903	10109967.16
894484	10109959.85
1780199	10108710.59
826250	10107963.42
498673	10107236.10
343192	10106821.45
1003230	10104487.06
1830476	10102984.95
406644	10102701.38
828562	10102456.64
622850	10100808.36
1343801	10100072.34
959257	10099479.78
1045436	10099279.19
1400006	10098321.40
1748383	10098235.44
1110	10092448.12
546513	10092164.43
1359233	10091551.56
337989	10089021.39
1316870	10087945.66
1255657	10086875.37
1447921	10085617.50
738406	10083268.69
1021827	10081982.98
561681	10078458.53
319967	10077047.24
1687667	10075810.79
1145015	10075260.04
661422	10071879.12
619793	10071087.69
370256	10070243.22
1182332	10069677.48
1268965	10067254.31
453431	10063908.67
110551	10060994.84
1911891	10059696.99
1224652	10058687.43
164696	10057533.40
1975692	10056176.09
960054	10055659.02
1961935	10055043.58
1198852	10054877.37
659851	10054848.20
318536	10053528.65
650993	10052940.94
175628	10052056.14
1455628	10051840.19
1786526	10051832.34
1584907	10047388.68
416359	10043276.27
1591069	10041569.92
325730	10040288.78
1523109	10031915.28
430667	10027799.79
228909	10026999.87
802032	10026957.45
595216	10025647.80
1444583	10024902.39
1200800	10023541.84
1848160	10023468.12
933241	10022999.25
1201165	10022746.58
268004	10022416.89
1990791	10020280.72
809590	10017222.20
1622817	10016931.13
1525773	10013431.00
1433332	10011266.27
210690	10009924.69
1906522	10009318.79
1487597	10007750.08
1026251	10007251.38
1540921	10005190.51
1824508	10004663.92
1387170	9999753.70
1625704	9999597.09
567230	9997413.38
1964660	9997369.35
1719804	9995190.33
410391	9992780.42
688827	9990732.80
495273	9990032.73
1299640	9989791.84
1018884	9987727.76
959845	9987168.56
1455017	9985946.56
1452960	9982986.92
802242	9982906.32
628296	9982891.78
1091316	9980498.98
32662	9979597.88
1739449	9979353.45
1633901	9976038.08
845438	9973945.15
268163	9968753.60
1720515	9967433.97
266052	9965876.86
1103963	9964838.22
1933732	9964642.89
655397	9963924.62
1234664	9962520.53
407850	9961071.78
1331955	9953221.45
244314	9950918.04
875251	9950814.95
248298	9950342.57
1063016	9949877.50
486755	9949603.12
1390340	9949570.86
43222	9949106.90
1038599	9948709.86
1822737	9942821.40
1161577	9941407.57
184514	9941283.64
814504	9938729.68
675441	9937929.07
1835426	9935337.09
147205	9934422.72
1383599	9932050.06
1047182	9930804.18
1330427	9928999.83
872196	9928409.58
256513	9927972.12
